merchant_id,merchant_name,category,mcc_code,country_code,interchange_fee_pct,risk_rating,onboarding_date,payout_settlement_days,is_chargeback_monitored,monthly_volume_est
M3324,Hyper Foods,Grocery & Supermarket,5411,US,0.0173,Low,2021-07-14,7,0,397446.12
M1502,Summit Cafe,E-Commerce & Marketplaces,5311,US,0.0236,Moderate,2020-08-16,1,0,834829.42
M2503,Nova Pay,Food & Dining,5812,CA,0.0227,Low,2022-07-09,2,0,1089921.38
M9691,Summit Ventures,Healthcare & Wellness,8099,US,0.015,Low,2020-05-22,1,0,1695380.69
M4524,Apex Express,Financial Services & SaaS,5999,US,0.0244,Moderate,2020-08-19,7,0,503200.77
M7163,Pulse Store,Gaming & Virtual Goods,7995,GB,0.0297,High,2022-10-26,1,0,1560599.33
M7878,Vanguard Solutions,Financial Services & SaaS,5999,US,0.0278,Moderate,2023-05-18,1,0,2303201.74
M8432,Pioneer Solutions,Healthcare & Wellness,8099,US,0.0188,Low,2021-05-26,1,0,1515382.14
M6585,Nova Solutions,Crypto & Digital Assets,6051,US,0.0375,Extreme,2020-04-09,7,0,260821.38
M3578,Vertex Hub,Grocery & Supermarket,5411,IN,0.0141,Low,2022-04-10,2,0,1548441.04
M7062,BlueSky Holdings,Crypto & Digital Assets,6051,US,0.0375,High,2020-12-15,3,0,931036.02
M6105,Starlight Cloud,Grocery & Supermarket,5411,FR,0.0136,Low,2022-03-13,2,0,2210721.06
M6314,Titan Foods,Gaming & Virtual Goods,7995,CA,0.034,High,2020-08-17,7,1,660404.3
M2391,Prime Cafe,Healthcare & Wellness,8099,GB,0.0162,Low,2024-04-26,1,0,1969434.94
M1861,BlueSky Hub,Crypto & Digital Assets,6051,AU,0.0367,Extreme,2022-04-30,1,0,1059428.11
M3549,Pioneer Direct,Electronics & Computers,5732,AU,0.0214,Moderate,2021-05-08,1,0,1525797.3
M3579,BlueSky Cloud,Crypto & Digital Assets,6051,US,0.0416,Extreme,2020-06-13,1,0,2252040.08
M1815,Nexus Store,Grocery & Supermarket,5411,DE,0.0151,Low,2023-11-04,2,0,818827.03
M2336,Pioneer Pay,Food & Dining,5812,US,0.021,Low,2023-11-10,1,0,2457654.05
M5458,Titan Mart,Grocery & Supermarket,5411,US,0.0137,Low,2021-09-13,3,0,974252.25
M8259,Cyber Retail,Food & Dining,5812,IN,0.0236,Low,2023-06-04,3,0,1229922.37
M7947,Quantum Air,Financial Services & SaaS,5999,FR,0.027,Moderate,2023-11-05,3,0,130685.55
M8957,Zenith Cafe,Healthcare & Wellness,8099,GB,0.0229,Low,2023-01-03,2,0,1507841.43
M8242,Starlight Cafe,Travel & Airlines,4511,US,0.0322,High,2023-04-15,1,1,662834.78
M7785,Quantum Solutions,Food & Dining,5812,CA,0.0196,Low,2021-02-08,7,0,1785088.53
M5475,Pioneer Direct,Healthcare & Wellness,8099,US,0.0226,Low,2022-01-16,2,0,1060865.83
M4531,Apex Mart,Gaming & Virtual Goods,7995,FR,0.0303,High,2023-03-15,2,0,1408596.88
M9394,Quantum Holdings,Crypto & Digital Assets,6051,US,0.0391,Extreme,2023-10-14,1,0,745044.41
M2864,Aero Holdings,E-Commerce & Marketplaces,5311,US,0.0242,Moderate,2021-07-03,2,0,1739364.95
M6655,Zenith Foods,Grocery & Supermarket,5411,FR,0.0188,Low,2023-11-04,1,0,106423.33
M8043,Zenith Ventures,Financial Services & SaaS,5999,CA,0.0265,Low,2024-05-01,1,0,1233839.42
M2816,Summit Holdings,Gaming & Virtual Goods,7995,GB,0.0367,High,2021-01-23,1,1,1900575.64
M5640,Horizon Cloud,Food & Dining,5812,US,0.0184,Low,2024-05-24,1,0,979326.55
M8972,BlueSky Retail,Travel & Airlines,4511,US,0.0262,High,2022-12-16,7,1,1999608.13
M9633,Vertex Ventures,Travel & Airlines,4511,IN,0.029,High,2022-03-07,3,1,356367.88
M6053,Vertex Cafe,Food & Dining,5812,US,0.0196,Low,2022-06-24,1,0,1168114.32
M1744,Summit Retail,Electronics & Computers,5732,IN,0.0199,Moderate,2020-03-26,1,0,866175.55
M4612,Vanguard Cloud,E-Commerce & Marketplaces,5311,FR,0.0255,Moderate,2022-01-21,1,0,37131.14
M7475,Apex Store,Crypto & Digital Assets,6051,IN,0.0418,Extreme,2024-01-09,1,0,1520638.22
M1897,Nexus Holdings,Healthcare & Wellness,8099,FR,0.0219,Low,2020-05-23,3,0,2213546.14
M1125,Prime Tech,Healthcare & Wellness,8099,IN,0.0207,Low,2020-04-30,2,0,1264159.93
M4349,Cyber Pay,Financial Services & SaaS,5999,DE,0.0298,Moderate,2023-09-28,2,0,1771410.71
M5938,Velocity Foods,E-Commerce & Marketplaces,5311,US,0.0219,Moderate,2022-03-11,1,0,656324.14
M4460,Velocity Pay,Travel & Airlines,4511,GB,0.0303,High,2024-06-24,2,0,393189.66
M3248,Alpha Store,Travel & Airlines,4511,DE,0.0307,High,2021-07-25,3,1,1117581.12
M5186,Starlight Direct,Electronics & Computers,5732,IN,0.0264,High,2020-12-03,1,1,901369.47
M5742,Swift Retail,Food & Dining,5812,CA,0.0181,Extreme,2021-06-25,2,1,245813.1
M6375,BlueSky Direct,Food & Dining,5812,US,0.0233,Low,2021-06-11,7,0,1219932.43
M2965,Horizon Foods,Travel & Airlines,4511,SG,0.0291,High,2020-12-01,3,1,2435470.52
M1126,SilverLine Tech,Food & Dining,5812,AU,0.0211,Low,2020-05-30,2,0,1087592.14
M9149,Nova Tech,E-Commerce & Marketplaces,5311,CA,0.0263,Moderate,2020-07-05,2,0,809344.86
M8055,Prime Air,Healthcare & Wellness,8099,DE,0.0175,Low,2022-12-01,2,0,2306993.71
M3878,Zenith Solutions,Crypto & Digital Assets,6051,DE,0.0424,Extreme,2021-08-21,2,1,657675.66
M3116,Hyper Holdings,Gaming & Virtual Goods,7995,US,0.0303,High,2024-09-14,2,1,2161365.31
M7229,Horizon Cafe,Gaming & Virtual Goods,7995,FR,0.0357,High,2022-05-19,2,0,720211.77
M9725,Nexus Pay,E-Commerce & Marketplaces,5311,DE,0.0216,Extreme,2022-10-10,1,0,1551393.1
M4770,Vanguard Logistics,Healthcare & Wellness,8099,DE,0.0219,Low,2022-12-13,3,0,1371552.21
M9196,Prime Foods,Grocery & Supermarket,5411,US,0.0141,Low,2022-06-24,7,0,1205060.47
M6802,Titan Solutions,Electronics & Computers,5732,US,0.0213,Moderate,2022-01-14,1,0,925638.24
M2180,Global Cloud,Food & Dining,5812,US,0.023,Low,2023-10-21,2,0,422687.72
M7505,Zenith Store,Grocery & Supermarket,5411,CA,0.0184,Low,2021-02-19,2,0,1163306.73
M1693,Swift Retail,Grocery & Supermarket,5411,GB,0.018,Low,2022-11-01,3,0,990490.86
M8147,Hyper Store,Electronics & Computers,5732,US,0.0212,Moderate,2020-02-04,3,0,120926.07
M1307,Alpha Retail,Food & Dining,5812,SG,0.0191,Low,2020-06-01,3,0,1609655.74
M8532,BlueSky Logistics,E-Commerce & Marketplaces,5311,US,0.0266,Moderate,2023-04-15,3,0,69903.22
M2275,Swift Cafe,Electronics & Computers,5732,AU,0.0213,Moderate,2024-08-07,7,0,725484.83
M6129,Nexus Holdings,Financial Services & SaaS,5999,GB,0.0235,Moderate,2023-12-07,2,0,674949.35
M8033,Global Store,Gaming & Virtual Goods,7995,AU,0.031,High,2020-07-07,3,0,597397.6
M7626,Nexus Logistics,Gaming & Virtual Goods,7995,GB,0.03,High,2021-02-19,1,0,183554.2
M7843,Starlight Logistics,Travel & Airlines,4511,US,0.0298,High,2023-12-16,2,0,136351.1
M5743,Titan Hub,Grocery & Supermarket,5411,GB,0.0196,Low,2021-08-27,7,0,1461951.64
M2887,Horizon Logistics,Electronics & Computers,5732,US,0.0204,Moderate,2023-12-07,2,0,1331689.66
M7636,Vertex Solutions,Healthcare & Wellness,8099,CA,0.0227,Low,2023-03-17,7,0,1266798.86
M1341,Swift Mart,Grocery & Supermarket,5411,FR,0.0133,Low,2024-05-09,1,0,1387567.65
M6321,Swift Holdings,Crypto & Digital Assets,6051,FR,0.0424,Extreme,2023-08-23,1,1,290119.21
M3815,Prime Direct,E-Commerce & Marketplaces,5311,FR,0.0225,Moderate,2024-01-02,2,0,2253873.19
M8538,Global Hub,Financial Services & SaaS,5999,AU,0.0267,Extreme,2023-11-04,1,0,200268.41
M6928,BlueSky Holdings,Food & Dining,5812,DE,0.0195,Low,2021-04-03,7,0,1081799.54
M2443,Velocity Express,Grocery & Supermarket,5411,DE,0.0125,Low,2020-12-02,2,0,115747.3
M8155,Quantum Store,Healthcare & Wellness,8099,SG,0.0229,Extreme,2022-09-03,3,0,440365.6
M2734,BlueSky Pay,Grocery & Supermarket,5411,CA,0.0152,Low,2020-04-26,3,0,1627730.12
M4986,Apex Pay,Healthcare & Wellness,8099,US,0.018,Low,2023-01-12,2,0,1234627.0
M8138,Apex Holdings,Financial Services & SaaS,5999,IN,0.0252,Moderate,2024-04-21,1,0,727532.53
M7560,Nexus Holdings,Financial Services & SaaS,5999,IN,0.0228,Moderate,2023-05-10,3,0,2142848.87
M9584,Beacon Holdings,Crypto & Digital Assets,6051,AU,0.0398,Extreme,2024-09-18,2,1,1281168.29
M2288,Nexus Store,E-Commerce & Marketplaces,5311,US,0.028,Moderate,2022-03-15,3,0,1793106.01
M7484,Cyber Cafe,Gaming & Virtual Goods,7995,US,0.034,High,2022-01-25,1,0,2031504.46
M6083,Apex Tech,Financial Services & SaaS,5999,AU,0.0222,Moderate,2021-02-02,7,0,1093642.32
M6562,Titan Mart,Food & Dining,5812,SG,0.0167,Low,2021-11-10,2,0,1458188.02
M4630,Alpha Retail,Financial Services & SaaS,5999,AU,0.0293,Moderate,2023-10-06,7,0,1344593.58
M6456,Cyber Logistics,Healthcare & Wellness,8099,CA,0.0179,Low,2020-03-28,2,0,898840.87
M3754,Titan Ventures,Electronics & Computers,5732,GB,0.0221,Moderate,2020-02-04,1,0,1251418.81
M2251,SilverLine Air,Electronics & Computers,5732,CA,0.0236,Moderate,2022-07-03,2,0,40449.15
M9363,Pulse Direct,Financial Services & SaaS,5999,CA,0.0274,Moderate,2021-06-16,1,0,1354494.97
M2868,Zenith Express,Grocery & Supermarket,5411,CA,0.0182,Low,2020-08-30,2,0,1673888.49
M9693,Nova Cloud,Electronics & Computers,5732,US,0.024,Moderate,2021-01-04,1,0,903442.11
M9355,Vertex Cafe,Grocery & Supermarket,5411,GB,0.0168,Low,2024-01-01,1,0,2112238.31
M4176,Starlight Mart,E-Commerce & Marketplaces,5311,US,0.0236,Moderate,2021-07-11,1,0,2264960.22
M6724,Beacon Solutions,Financial Services & SaaS,5999,DE,0.0287,Moderate,2023-04-08,2,0,905655.24
M6752,Pioneer Direct,E-Commerce & Marketplaces,5311,SG,0.0235,High,2023-02-22,1,0,1226943.18
M3419,Pulse Cafe,Travel & Airlines,4511,US,0.0269,High,2024-04-18,2,1,1700297.5
M4871,Starlight Store,Healthcare & Wellness,8099,IN,0.0202,Low,2024-01-08,1,0,1408174.7
M2684,SilverLine Mart,Grocery & Supermarket,5411,US,0.013,Low,2022-07-05,7,0,803772.35
M3399,Apex Holdings,Healthcare & Wellness,8099,CA,0.0221,Low,2023-10-16,1,0,1765976.5
M5193,Alpha Holdings,Gaming & Virtual Goods,7995,IN,0.0367,High,2022-12-04,1,1,465836.79
M4232,Zenith Retail,Travel & Airlines,4511,GB,0.0261,High,2024-02-03,3,1,382465.35
M3842,Global Logistics,Crypto & Digital Assets,6051,IN,0.0408,Extreme,2023-05-12,3,1,1712224.98
M3504,Aero Store,E-Commerce & Marketplaces,5311,CA,0.026,Moderate,2023-08-04,1,0,312928.6
M2234,Velocity Cafe,Grocery & Supermarket,5411,FR,0.0147,Low,2024-05-21,3,0,1219086.56
M3902,Pulse Cloud,Financial Services & SaaS,5999,GB,0.0247,Moderate,2021-05-16,1,0,2019937.58
M9095,Global Cafe,Food & Dining,5812,SG,0.018,Low,2024-02-16,3,0,465324.04
M8601,Pioneer Cafe,Travel & Airlines,4511,IN,0.0253,High,2023-05-26,1,0,1301972.76
M8354,Titan Cafe,Gaming & Virtual Goods,7995,FR,0.0338,High,2021-09-22,3,0,1387795.64
M6295,Nexus Cafe,Grocery & Supermarket,5411,US,0.0166,Low,2020-08-07,2,0,704817.84
M6179,Nova Holdings,Gaming & Virtual Goods,7995,AU,0.0336,High,2020-02-02,3,0,2499743.23
M3473,Pioneer Express,Food & Dining,5812,US,0.0218,Low,2021-03-27,7,0,1237705.17
M8205,Vanguard Mart,Gaming & Virtual Goods,7995,US,0.0317,High,2022-10-26,1,0,2075693.69
M2118,Beacon Hub,Travel & Airlines,4511,US,0.0305,High,2023-02-28,2,0,1984230.94
M8682,Starlight Ventures,E-Commerce & Marketplaces,5311,DE,0.0251,Moderate,2020-02-09,1,0,2183528.73
M8245,Titan Direct,Financial Services & SaaS,5999,FR,0.0298,Moderate,2024-06-01,3,0,2020007.23
M5961,Hyper Express,Food & Dining,5812,IN,0.0195,Low,2024-05-19,2,0,1333956.26
M5500,Vanguard Foods,Crypto & Digital Assets,6051,IN,0.0406,Moderate,2020-06-08,1,0,176289.2
M1920,Velocity Solutions,Food & Dining,5812,US,0.0237,High,2023-06-16,1,0,1970738.28
M6766,SilverLine Store,Food & Dining,5812,GB,0.0186,Low,2021-11-17,1,0,1625039.54
M9312,Alpha Tech,Electronics & Computers,5732,FR,0.0233,Moderate,2021-12-09,7,0,782539.35
M2215,Pulse Ventures,Healthcare & Wellness,8099,GB,0.0222,Low,2024-06-25,1,0,1302692.01
M6085,SilverLine Holdings,E-Commerce & Marketplaces,5311,IN,0.0223,Extreme,2024-03-31,2,1,2378751.97
M8565,Cyber Store,Food & Dining,5812,GB,0.0236,Low,2023-10-19,2,0,702477.42
M8404,Pulse Hub,Crypto & Digital Assets,6051,FR,0.0403,Extreme,2024-02-13,2,0,762304.82
M1616,Horizon Foods,Gaming & Virtual Goods,7995,US,0.0327,High,2021-02-08,2,0,1014156.6
M1932,Cyber Store,Financial Services & SaaS,5999,FR,0.0282,Moderate,2024-06-28,1,0,370662.73
M7041,Alpha Logistics,E-Commerce & Marketplaces,5311,DE,0.027,Moderate,2020-03-08,2,0,1789669.31
M5703,Aero Air,Food & Dining,5812,IN,0.0198,Low,2024-03-02,2,0,197091.79
M2257,Aero Hub,Grocery & Supermarket,5411,GB,0.0149,Low,2020-08-12,1,0,1746869.24
M2479,Prime Ventures,E-Commerce & Marketplaces,5311,US,0.0215,Moderate,2021-05-03,2,0,546688.22
M9307,Nexus Cloud,Crypto & Digital Assets,6051,DE,0.0403,Extreme,2024-01-06,7,0,2420556.7
M7299,Aero Logistics,Healthcare & Wellness,8099,GB,0.0208,Low,2020-04-03,3,0,614738.56
M8581,Apex Retail,Crypto & Digital Assets,6051,CA,0.0387,Extreme,2021-04-26,2,0,1919512.59
M1672,Pioneer Retail,Financial Services & SaaS,5999,US,0.0274,Extreme,2024-07-13,1,0,1044788.03
M8368,BlueSky Express,Grocery & Supermarket,5411,US,0.0181,Low,2020-05-17,1,0,345704.45
M4084,SilverLine Mart,E-Commerce & Marketplaces,5311,IN,0.0233,Moderate,2021-04-07,2,0,1942125.21
M6267,Aero Foods,Healthcare & Wellness,8099,US,0.022,Low,2021-11-06,2,0,1698608.11
M8792,Apex Cafe,Food & Dining,5812,AU,0.0235,Low,2022-01-30,2,0,772577.5
M9214,Summit Tech,Electronics & Computers,5732,AU,0.0232,Moderate,2023-10-12,2,0,1262689.58
M3471,Cyber Retail,E-Commerce & Marketplaces,5311,US,0.0271,Moderate,2020-02-23,1,0,1138107.82
M2013,Aero Tech,Food & Dining,5812,FR,0.017,High,2022-03-05,2,1,1337243.81
M8381,Quantum Store,Food & Dining,5812,DE,0.0232,Low,2020-10-07,3,0,2427850.04
M2695,Apex Direct,Gaming & Virtual Goods,7995,SG,0.0313,High,2021-07-26,7,0,1725669.95
M6626,Vanguard Direct,Grocery & Supermarket,5411,SG,0.012,Low,2023-11-22,2,0,1525784.53
M2381,SilverLine Cafe,Healthcare & Wellness,8099,IN,0.0197,Low,2023-07-04,3,0,685910.08
M9266,Zenith Holdings,Healthcare & Wellness,8099,AU,0.0163,Low,2021-12-31,2,0,496927.63
M3827,Cyber Direct,Crypto & Digital Assets,6051,US,0.04,Extreme,2022-05-27,1,0,2308973.67
M1641,Velocity Holdings,Electronics & Computers,5732,US,0.0217,Moderate,2020-05-12,2,0,105135.49
M5059,Vanguard Direct,Travel & Airlines,4511,DE,0.0293,High,2024-03-11,3,1,256929.85
M8172,Alpha Logistics,Food & Dining,5812,US,0.0181,Low,2020-03-02,3,0,2013513.38
M8199,Velocity Holdings,E-Commerce & Marketplaces,5311,SG,0.0251,Moderate,2020-07-22,2,0,770530.84
M9586,Nexus Logistics,Food & Dining,5812,GB,0.0183,Low,2024-09-13,2,0,856480.63
M9564,Summit Pay,Crypto & Digital Assets,6051,US,0.0356,Extreme,2023-04-11,1,1,1730817.28
M3600,Starlight Cafe,Gaming & Virtual Goods,7995,SG,0.0315,High,2020-12-13,2,1,931048.39
M6962,Aero Foods,Food & Dining,5812,CA,0.023,Low,2023-05-23,2,0,2399688.21
M7108,Vanguard Air,Grocery & Supermarket,5411,GB,0.0166,Low,2024-09-20,1,0,1097351.35
M5634,Nova Cloud,Healthcare & Wellness,8099,AU,0.0189,Low,2021-01-28,3,0,423642.64
M7347,Beacon Solutions,Food & Dining,5812,US,0.0226,Low,2021-08-21,2,0,2152480.65
M7697,Starlight Retail,Travel & Airlines,4511,US,0.0279,High,2021-03-19,3,0,980414.12
M6543,Starlight Retail,Travel & Airlines,4511,CA,0.0293,High,2021-07-10,2,0,782282.06
M1857,Alpha Solutions,Healthcare & Wellness,8099,GB,0.0208,Low,2021-12-27,7,0,930064.32
M6482,Starlight Cafe,Travel & Airlines,4511,DE,0.0311,High,2024-08-06,3,0,839720.58
M2079,SilverLine Holdings,Financial Services & SaaS,5999,DE,0.0292,Moderate,2023-10-20,1,0,942841.38
M6401,Summit Air,Travel & Airlines,4511,SG,0.0295,High,2023-10-11,7,0,312684.96
M2548,Beacon Store,Food & Dining,5812,FR,0.0173,Low,2021-04-09,2,0,1784541.18
M7333,Beacon Logistics,E-Commerce & Marketplaces,5311,DE,0.0215,Moderate,2021-10-19,2,0,1123388.75
M5655,SilverLine Tech,Healthcare & Wellness,8099,DE,0.02,Low,2023-10-23,2,0,556967.04
M5128,Pulse Express,Food & Dining,5812,AU,0.0235,Low,2021-04-27,2,0,2265330.28
M3463,Apex Tech,Gaming & Virtual Goods,7995,DE,0.0303,High,2021-04-12,3,0,1437090.06
M6461,Titan Direct,Crypto & Digital Assets,6051,GB,0.0355,Extreme,2020-03-23,2,0,1240177.81
M2335,Prime Tech,E-Commerce & Marketplaces,5311,US,0.0234,Moderate,2023-06-02,2,0,1607327.61
M3317,Horizon Foods,Crypto & Digital Assets,6051,US,0.0426,Extreme,2020-12-31,1,1,1927594.45
M6731,Aero Foods,Healthcare & Wellness,8099,US,0.0205,Low,2022-01-01,7,0,1352249.31
M6082,Prime Cloud,Grocery & Supermarket,5411,AU,0.0135,Low,2023-09-27,3,0,84599.15
M7421,Global Tech,Healthcare & Wellness,8099,SG,0.0216,Low,2023-01-13,1,0,734892.43
M3112,Summit Air,Grocery & Supermarket,5411,SG,0.016,Low,2021-08-30,1,0,2014926.84
M2388,Beacon Direct,Travel & Airlines,4511,CA,0.0308,High,2024-01-04,2,0,1367781.69
M6072,Pulse Solutions,Grocery & Supermarket,5411,GB,0.0192,Low,2022-10-06,3,0,1345300.86
M7171,Pioneer Express,Electronics & Computers,5732,CA,0.0269,Moderate,2023-07-27,2,0,2408574.45
M6381,Nova Cafe,Grocery & Supermarket,5411,FR,0.0181,Low,2021-10-02,7,0,420691.69
M3093,Cyber Store,Travel & Airlines,4511,IN,0.0309,Moderate,2021-12-26,2,0,493545.13
M9624,Beacon Holdings,Travel & Airlines,4511,AU,0.0289,High,2022-10-06,3,0,1156099.57
M2531,Vanguard Tech,Crypto & Digital Assets,6051,FR,0.041,Extreme,2020-09-17,3,0,1845454.9
M7937,Global Direct,Crypto & Digital Assets,6051,SG,0.0353,Extreme,2024-04-22,3,0,1405436.98
M9331,Pulse Holdings,Healthcare & Wellness,8099,DE,0.0198,Low,2021-03-04,7,0,1535397.03
M1298,Apex Foods,Food & Dining,5812,DE,0.0174,Low,2022-05-04,3,0,2112921.68
M6940,Vertex Store,E-Commerce & Marketplaces,5311,US,0.0231,Moderate,2023-03-11,7,0,1154458.47
M6060,Beacon Store,Crypto & Digital Assets,6051,AU,0.0388,Extreme,2023-03-20,3,0,664496.39
M3953,Velocity Direct,Financial Services & SaaS,5999,FR,0.0242,Moderate,2021-05-20,3,0,1009717.94
M4509,Vertex Express,Electronics & Computers,5732,IN,0.0224,Moderate,2023-11-10,2,0,995537.94
M6598,Starlight Hub,Healthcare & Wellness,8099,GB,0.0168,Low,2022-02-17,1,0,2225921.52
M8967,Global Express,Grocery & Supermarket,5411,US,0.0165,Low,2020-08-20,2,0,1265860.85
M4145,Starlight Holdings,Travel & Airlines,4511,FR,0.0292,High,2020-02-15,3,0,1082533.91
M4711,Nexus Logistics,Electronics & Computers,5732,DE,0.0257,Moderate,2024-06-08,2,0,1226890.91
M3253,Prime Mart,Gaming & Virtual Goods,7995,IN,0.0328,High,2021-10-13,2,1,1097535.8
M3538,Swift Air,Gaming & Virtual Goods,7995,FR,0.034,High,2021-03-31,7,0,1151424.85
M2264,Titan Cafe,Travel & Airlines,4511,CA,0.0281,High,2020-03-13,7,0,2225077.85
M5846,Zenith Retail,Crypto & Digital Assets,6051,US,0.0393,Extreme,2023-07-19,3,1,203719.15
M2657,Prime Solutions,Food & Dining,5812,CA,0.0187,Extreme,2020-06-20,2,1,1663185.69
M9317,Global Foods,E-Commerce & Marketplaces,5311,IN,0.0244,Moderate,2020-03-20,3,0,1046075.63
M9843,Summit Ventures,Grocery & Supermarket,5411,US,0.0181,Extreme,2020-10-18,2,0,1858410.14
M9626,Pulse Tech,Travel & Airlines,4511,GB,0.0327,High,2023-04-15,2,0,2333064.96
M1618,Vanguard Holdings,Grocery & Supermarket,5411,AU,0.0163,Low,2022-12-25,2,0,355740.48
M6517,Global Ventures,Financial Services & SaaS,5999,SG,0.0286,Moderate,2021-07-17,1,0,417498.79
M3147,BlueSky Cafe,Electronics & Computers,5732,GB,0.0226,Moderate,2023-11-27,2,0,747869.27
M7172,Prime Mart,Electronics & Computers,5732,US,0.0256,Moderate,2023-11-10,2,0,2102491.96
M3527,Starlight Pay,Electronics & Computers,5732,US,0.0225,Moderate,2022-10-10,1,0,338739.18
M3658,Swift Ventures,Grocery & Supermarket,5411,AU,0.0141,Low,2021-06-25,3,0,1859509.39
M3962,Starlight Hub,Travel & Airlines,4511,GB,0.0321,High,2022-01-26,2,0,866794.37
M3712,Alpha Store,Electronics & Computers,5732,AU,0.0236,Moderate,2022-08-21,3,0,1098355.89
M8170,Nova Direct,Electronics & Computers,5732,US,0.0195,Moderate,2022-04-22,2,0,783529.5
M1715,Alpha Pay,Food & Dining,5812,CA,0.0227,Low,2023-02-05,2,0,2232818.2
M7731,Velocity Cafe,Financial Services & SaaS,5999,CA,0.0291,Moderate,2024-01-08,1,0,536358.85
M6968,Prime Ventures,Crypto & Digital Assets,6051,CA,0.0413,Extreme,2021-11-07,2,0,345160.56
M4891,Horizon Logistics,Grocery & Supermarket,5411,FR,0.0185,Low,2022-02-09,1,0,133444.62
M8277,Pulse Hub,Food & Dining,5812,US,0.0224,Low,2024-05-31,1,0,1111284.03
