dispute_id,transaction_id,customer_id,merchant_id,dispute_date,dispute_reason,disputed_amount,dispute_status,evidence_submitted,chargeback_fee_usd,resolution_date,liability_assigned
DSP200014,TX293728,C63973,M3883,2025-06-21,Item Not Received,149.77,Chargeback Reversed,1,50.0,2025-07-21,Payment Processor
DSP200015,TX100327,C34586,M6321,2025-03-24,Subscription Cancelled,1254.8,Arbitration,1,35.0,2025-04-27,Merchant
DSP200016,TX110837,C44741,M7126,2025-06-17,Duplicate Processing,294.69,Pending Evidence,0,15.0,,Pending
DSP200017,TX110261,C95175,M3655,2026-05-06,Credit Not Processed,1563.7,Arbitration,1,25.0,2026-05-31,Payment Processor
DSP200018,TX106318,C56112,M7524,2026-05-22,Item Not Received,173.93,Won - Customer,1,35.0,2026-07-10,Payment Processor
DSP200019,TX251400,C10221,M6580,2026-02-08,Item Not Received,924.23,Arbitration,1,20.0,2026-04-06,Merchant
DSP200020,TX114897,C52906,M4460,2025-04-06,Credit Not Processed,245.11,Under Review,1,50.0,,Pending
DSP200021,TX110683,C84946,M9239,2025-04-07,Duplicate Processing,1323.5,Chargeback Reversed,0,20.0,2025-04-17,Cardholder
DSP200022,TX105608,C71894,M3535,2025-07-28,Item Not Received,1386.87,Pending Evidence,0,15.0,,Pending
DSP200023,TX114866,C95823,M8792,2026-03-19,Subscription Cancelled,1063.03,Pending Evidence,1,25.0,,Pending
DSP200024,TX114295,C98555,M6928,2025-10-03,Duplicate Processing,821.25,Chargeback Reversed,0,25.0,2025-10-12,Issuing Bank
DSP200025,TX106848,C41439,M9618,2026-05-31,Fraudulent Transaction,297.76,Arbitration,1,50.0,2026-07-16,Cardholder
DSP200026,TX100731,C40539,M3419,2025-10-06,Item Not Received,1232.13,Won - Customer,1,35.0,2025-11-29,Merchant
DSP200027,TX113553,C88047,M3626,2025-04-01,Friendly Fraud / Unrecognized,289.1,Chargeback Reversed,1,50.0,2025-04-15,Issuing Bank
DSP200028,TX100295,C67939,M6401,2026-01-25,Product Defective / Unacceptable,1705.75,Pending Evidence,1,15.0,,Pending
DSP200029,TX105548,C94886,M5564,2025-03-19,Friendly Fraud / Unrecognized,231.83,Chargeback Reversed,0,20.0,2025-04-20,Cardholder
DSP200030,TX112417,C18418,M6793,2025-06-21,Duplicate Processing,949.9,Won - Customer,1,20.0,2025-07-01,Merchant
DSP200031,TX106700,C24168,M6267,2025-11-16,Credit Not Processed,220.48,Pending Evidence,1,25.0,,Pending
DSP200032,TX107822,C67091,M4941,2026-06-01,Friendly Fraud / Unrecognized,1424.94,Won - Customer,1,25.0,2026-06-25,Merchant
DSP200033,TX101923,C56984,M9843,2025-10-04,Friendly Fraud / Unrecognized,163.3,Under Review,1,25.0,,Pending
DSP200034,TX101204,C88269,M2063,2025-03-17,Subscription Cancelled,527.47,Chargeback Reversed,1,35.0,2025-05-06,Cardholder
DSP200035,TX104217,C23356,M3463,2026-04-24,Friendly Fraud / Unrecognized,1132.71,Won - Customer,1,20.0,2026-06-03,Merchant
DSP200036,TX107971,C50319,M9151,2025-11-16,Fraudulent Transaction,100.0,Pending Evidence,1,50.0,,Pending
DSP200037,TX110311,C99353,M6482,2025-07-16,Product Defective / Unacceptable,1238.04,Won - Merchant,1,35.0,2025-09-06,Issuing Bank
DSP200038,TX114097,C69871,M3352,2025-10-29,Friendly Fraud / Unrecognized,1622.45,Won - Customer,1,25.0,2025-12-01,Payment Processor
DSP200039,TX111104,C64496,M8564,2025-09-30,Fraudulent Transaction,46.77,Won - Customer,1,35.0,2025-10-29,Merchant
DSP200040,TX103399,C15695,M3324,2025-06-18,Product Defective / Unacceptable,1033.65,Chargeback Reversed,0,15.0,2025-08-16,Cardholder
DSP200041,TX297472,C39634,M2702,2025-03-22,Duplicate Processing,749.98,Chargeback Reversed,1,20.0,2025-04-09,Payment Processor
DSP200042,TX113661,C80284,M7797,2026-04-10,Fraudulent Transaction,574.73,Chargeback Reversed,1,15.0,2026-05-13,Merchant
DSP200043,TX113257,C26199,M7655,2025-09-06,Product Defective / Unacceptable,5.02,Arbitration,1,35.0,2025-09-30,Cardholder
DSP200044,TX103395,C26551,M2101,2026-01-19,Credit Not Processed,1771.8,Under Review,1,20.0,,Pending
DSP200045,TX107965,C99873,M3972,2026-02-26,Friendly Fraud / Unrecognized,925.8,Chargeback Reversed,0,35.0,2026-04-02,Payment Processor
DSP200046,TX101613,C66148,M2079,2026-01-18,Duplicate Processing,1496.45,Chargeback Reversed,0,35.0,2026-02-24,Cardholder
DSP200047,TX113630,C37235,M9633,2025-07-15,Fraudulent Transaction,1584.44,Chargeback Reversed,0,15.0,2025-09-10,Cardholder
DSP200048,TX109582,C99593,M8204,2026-01-18,Item Not Received,583.39,Arbitration,1,25.0,2026-03-03,Payment Processor
DSP200049,TX229976,C27361,M3467,2025-08-22,Subscription Cancelled,471.4,Chargeback Reversed,1,20.0,2025-10-09,Merchant
DSP200050,TX112150,C38221,M7521,2026-05-20,Friendly Fraud / Unrecognized,1119.12,Won - Merchant,1,35.0,2026-06-21,Cardholder
DSP200051,TX104705,C34878,M1693,2026-01-22,Subscription Cancelled,1426.42,Chargeback Reversed,1,35.0,2026-02-18,Issuing Bank
DSP200052,TX101253,C16629,M9129,2025-10-09,Product Defective / Unacceptable,809.13,Arbitration,1,20.0,2025-12-05,Merchant
DSP200053,TX103488,C49240,M6105,2025-08-07,Item Not Received,244.04,Arbitration,1,15.0,2025-09-20,Issuing Bank
DSP200054,TX105395,C83563,M5155,2025-04-07,Fraudulent Transaction,1930.8,Pending Evidence,1,20.0,,Pending
DSP200055,TX111913,C85674,M6170,2025-06-09,Fraudulent Transaction,1881.35,Chargeback Reversed,0,50.0,2025-06-18,Merchant
DSP200056,TX100596,C43082,M7018,2025-05-07,Fraudulent Transaction,52.25,Pending Evidence,0,25.0,,Pending
DSP200057,TX100674,C25095,M8172,2025-10-13,Subscription Cancelled,1140.46,Won - Customer,1,15.0,2025-11-06,Merchant
DSP200058,TX106752,C42662,M2697,2025-03-26,Friendly Fraud / Unrecognized,365.12,Arbitration,1,35.0,2025-04-14,Payment Processor
DSP200059,TX107695,C39038,M7521,2025-10-09,Fraudulent Transaction,981.61,Under Review,0,50.0,,Pending
DSP200060,TX106745,C61645,M6236,2025-10-03,Duplicate Processing,211.01,Pending Evidence,1,20.0,,Pending
DSP200061,TX110199,C95256,M1307,2026-06-24,Product Defective / Unacceptable,450.92,Pending Evidence,1,25.0,,Pending
DSP200062,TX114076,C42087,M7655,2026-03-17,Fraudulent Transaction,349.78,Won - Merchant,1,20.0,2026-04-21,Cardholder
DSP200063,TX112638,C88172,M8043,2025-04-17,Product Defective / Unacceptable,445.88,Won - Merchant,1,20.0,2025-06-01,Issuing Bank
DSP200064,TX110143,C30006,M7655,2025-05-24,Fraudulent Transaction,722.69,Pending Evidence,0,25.0,,Pending
DSP200065,TX111172,C63354,M2033,2025-05-29,Credit Not Processed,1543.28,Pending Evidence,1,25.0,,Pending
DSP200066,TX294569,C26817,M6895,2025-09-11,Item Not Received,1095.01,Arbitration,1,25.0,2025-10-24,Payment Processor
DSP200067,TX101696,C57576,M9095,2026-05-24,Fraudulent Transaction,269.38,Arbitration,1,35.0,2026-06-23,Cardholder
DSP200068,TX105265,C15778,M3986,2025-12-31,Fraudulent Transaction,1735.77,Chargeback Reversed,0,35.0,2026-02-18,Issuing Bank
DSP200069,TX105900,C57795,M4612,2025-07-14,Item Not Received,1178.8,Chargeback Reversed,1,25.0,2025-09-10,Issuing Bank
DSP200070,TX114134,C27038,M9618,2025-02-02,Item Not Received,1604.74,Chargeback Reversed,1,25.0,2025-03-01,Cardholder
DSP200071,TX109763,C20527,M2259,2026-05-11,Credit Not Processed,1189.1,Under Review,1,25.0,,Pending
DSP200072,TX110828,C63964,M1311,2026-03-26,Item Not Received,480.8,Arbitration,1,35.0,2026-04-03,Cardholder
DSP200073,TX107667,C85243,M1815,2025-12-23,Subscription Cancelled,433.6,Arbitration,1,25.0,2026-02-06,Payment Processor
DSP200074,TX106418,C73624,M4084,2026-05-21,Friendly Fraud / Unrecognized,1685.95,Pending Evidence,0,20.0,,Pending
DSP200075,TX105887,C38534,M9313,2025-07-09,Friendly Fraud / Unrecognized,1485.13,Under Review,1,25.0,,Pending
DSP200076,TX111238,C74042,M1713,2025-04-03,Duplicate Processing,907.51,Arbitration,1,20.0,2025-05-03,Payment Processor
DSP200077,TX102748,C82512,M8957,2026-05-26,Friendly Fraud / Unrecognized,100.0,Pending Evidence,0,25.0,,Pending
DSP200078,TX101547,C73335,M5712,2025-06-19,Fraudulent Transaction,1877.88,Arbitration,1,50.0,2025-07-19,Issuing Bank
DSP200079,TX106598,C77449,M5846,2025-08-18,Fraudulent Transaction,1960.37,Pending Evidence,1,20.0,,Pending
DSP200080,TX108424,C28964,M7026,2025-09-12,Product Defective / Unacceptable,445.41,Arbitration,1,15.0,2025-10-09,Payment Processor
DSP200081,TX112331,C88561,M9410,2026-01-19,Credit Not Processed,100.0,Pending Evidence,1,35.0,,Pending
DSP200082,TX104750,C47450,M6567,2025-01-25,Credit Not Processed,1261.02,Won - Merchant,1,25.0,2025-02-19,Cardholder
DSP200083,TX113435,C89569,M9224,2026-05-07,Fraudulent Transaction,563.7,Pending Evidence,1,35.0,,Pending
DSP200084,TX108317,C75338,M5193,2025-12-08,Friendly Fraud / Unrecognized,1251.03,Under Review,1,25.0,,Pending
DSP200085,TX108501,C88193,M6543,2026-04-12,Fraudulent Transaction,306.69,Pending Evidence,0,20.0,,Pending
DSP200086,TX106679,C49363,M2251,2025-06-22,Friendly Fraud / Unrecognized,1072.08,Won - Customer,1,50.0,2025-08-16,Merchant
DSP200087,TX108205,C41300,M6493,2026-01-06,Credit Not Processed,1412.05,Under Review,0,50.0,,Pending
DSP200088,TX103119,C83519,M4279,2025-02-19,Product Defective / Unacceptable,169.98,Under Review,1,35.0,,Pending
DSP200089,TX107787,C62757,M2108,2025-11-11,Item Not Received,717.69,Under Review,1,15.0,,Pending
DSP200090,TX270986,C97153,M4016,2025-11-20,Item Not Received,922.37,Chargeback Reversed,1,20.0,2026-01-13,Cardholder
DSP200091,TX253521,C47132,M6802,2026-04-16,Subscription Cancelled,988.01,Under Review,0,20.0,,Pending
DSP200092,TX107596,C15482,M3254,2025-11-09,Subscription Cancelled,1210.77,Pending Evidence,1,25.0,,Pending
DSP200093,TX103045,C71993,M8272,2025-11-23,Credit Not Processed,679.75,Won - Customer,1,15.0,2025-12-20,Merchant
DSP200094,TX100707,C15229,M6072,2025-04-25,Duplicate Processing,1152.4,Pending Evidence,0,20.0,,Pending
DSP200095,TX110793,C46458,M2548,2025-06-17,Duplicate Processing,232.8,Pending Evidence,0,50.0,,Pending
DSP200096,TX105813,C12799,M2882,2025-05-03,Product Defective / Unacceptable,1133.39,Won - Merchant,1,15.0,2025-06-13,Cardholder
DSP200097,TX106989,C60432,M2965,2025-05-09,Duplicate Processing,397.33,Arbitration,1,35.0,2025-06-09,Cardholder
DSP200098,TX109857,C11824,M8167,2026-04-13,Item Not Received,1426.28,Won - Customer,1,25.0,2026-05-01,Merchant
DSP200099,TX110065,C74042,M7172,2025-05-13,Product Defective / Unacceptable,1456.26,Pending Evidence,1,25.0,,Pending
DSP200100,TX108312,C80010,M4271,2026-05-26,Product Defective / Unacceptable,1364.63,Won - Customer,1,25.0,2026-06-06,Payment Processor
DSP200101,TX111101,C41830,M1333,2026-01-06,Fraudulent Transaction,1998.8,Pending Evidence,1,25.0,,Pending
DSP200102,TX225451,C54473,M6493,2026-03-31,Item Not Received,874.24,Under Review,0,35.0,,Pending
DSP200103,TX102926,C48427,M4833,2026-02-24,Fraudulent Transaction,1993.8,Won - Merchant,1,20.0,2026-04-15,Cardholder
DSP200104,TX109714,C74032,M2234,2026-05-07,Product Defective / Unacceptable,1718.21,Chargeback Reversed,1,25.0,2026-05-22,Merchant
DSP200105,TX107467,C53064,M3255,2025-02-28,Subscription Cancelled,577.16,Under Review,1,35.0,,Pending
DSP200106,TX113691,C32280,M7172,2026-05-05,Fraudulent Transaction,100.0,Arbitration,1,35.0,2026-05-25,Issuing Bank
DSP200107,TX104218,C23473,M6776,2025-08-07,Subscription Cancelled,1645.78,Won - Merchant,1,50.0,2025-08-20,Cardholder
DSP200108,TX112899,C59192,M3209,2025-04-29,Subscription Cancelled,319.77,Won - Customer,1,50.0,2025-06-18,Merchant
DSP200109,TX103623,C13365,M2337,2025-10-02,Friendly Fraud / Unrecognized,525.15,Pending Evidence,1,50.0,,Pending
DSP200110,TX106114,C74923,M9452,2025-02-23,Fraudulent Transaction,1919.21,Under Review,1,15.0,,Pending
DSP200111,TX114774,C27927,M3347,2025-03-29,Fraudulent Transaction,1826.54,Chargeback Reversed,0,15.0,2025-05-27,Cardholder
DSP200112,TX113367,C12552,M2259,2025-07-10,Friendly Fraud / Unrecognized,255.22,Under Review,0,15.0,,Pending
DSP200113,TX102615,C47667,M5703,2025-11-27,Subscription Cancelled,388.05,Pending Evidence,1,15.0,,Pending
DSP200114,TX110472,C44099,M7560,2026-06-08,Fraudulent Transaction,244.75,Under Review,1,25.0,,Pending
DSP200115,TX110488,C16590,M4705,2025-05-08,Item Not Received,409.26,Won - Customer,1,20.0,2025-07-04,Merchant
DSP200116,TX114059,C81810,M1341,2025-03-03,Product Defective / Unacceptable,100.0,Pending Evidence,0,15.0,,Pending
DSP200117,TX104027,C63528,M1570,2025-09-18,Credit Not Processed,282.19,Chargeback Reversed,0,15.0,2025-10-13,Cardholder
DSP200118,TX113636,C89482,M3147,2025-03-13,Friendly Fraud / Unrecognized,958.55,Pending Evidence,1,50.0,,Pending
DSP200119,TX254300,C80393,M2358,2026-03-04,Credit Not Processed,187.96,Won - Merchant,1,25.0,2026-04-29,Cardholder
DSP200120,TX106494,C44795,M1726,2025-04-10,Subscription Cancelled,735.24,Won - Customer,1,15.0,2025-06-05,Merchant
DSP200121,TX103236,C46471,M2402,2026-01-31,Friendly Fraud / Unrecognized,58.81,Under Review,0,25.0,,Pending
DSP200122,TX112381,C96474,M4918,2025-11-27,Duplicate Processing,148.73,Won - Customer,1,50.0,2026-01-06,Merchant
DSP200123,TX111799,C98395,M9355,2026-05-16,Duplicate Processing,65.07,Pending Evidence,1,15.0,,Pending
DSP200124,TX105055,C82544,M5703,2026-02-26,Item Not Received,932.13,Chargeback Reversed,1,25.0,2026-04-07,Issuing Bank
DSP200125,TX111770,C82641,M4268,2025-03-02,Duplicate Processing,1345.13,Pending Evidence,0,25.0,,Pending
DSP200126,TX107716,C38477,M1744,2026-04-05,Friendly Fraud / Unrecognized,1654.38,Won - Merchant,1,25.0,2026-05-27,Cardholder
DSP200127,TX100616,C73904,M7505,2025-12-13,Subscription Cancelled,320.89,Chargeback Reversed,1,15.0,2026-02-04,Merchant
DSP200128,TX111064,C31299,M5743,2025-08-27,Fraudulent Transaction,1631.29,Arbitration,1,15.0,2025-10-06,Cardholder
DSP200129,TX102188,C96400,M1311,2025-06-11,Subscription Cancelled,189.6,Won - Merchant,1,50.0,2025-06-24,Issuing Bank
DSP200130,TX109930,C54587,M8840,2025-09-22,Item Not Received,507.3,Under Review,1,15.0,,Pending
DSP200131,TX113675,C85243,M1782,2026-05-25,Friendly Fraud / Unrecognized,1082.18,Won - Merchant,1,35.0,2026-07-08,Issuing Bank
DSP200132,TX100535,C75435,M8957,2025-02-06,Item Not Received,1301.95,Arbitration,1,50.0,2025-03-13,Payment Processor
DSP200133,TX113670,C20589,M1920,2025-02-25,Product Defective / Unacceptable,50.59,Under Review,0,50.0,,Pending
DSP200134,TX110868,C25012,M7105,2026-02-08,Duplicate Processing,786.72,Chargeback Reversed,1,25.0,2026-03-24,Cardholder
DSP200135,TX106020,C89593,M2264,2025-05-20,Product Defective / Unacceptable,1733.05,Won - Customer,1,20.0,2025-06-26,Merchant
DSP200136,TX109263,C59674,M2929,2025-09-20,Product Defective / Unacceptable,100.0,Under Review,0,25.0,,Pending
DSP200137,TX100631,C33405,M8391,2025-04-15,Fraudulent Transaction,100.0,Won - Merchant,1,15.0,2025-05-07,Cardholder
DSP200138,TX112317,C24953,M9945,2025-09-11,Fraudulent Transaction,1335.56,Arbitration,1,50.0,2025-09-29,Merchant
DSP200139,TX235016,C73335,M6276,2025-07-26,Duplicate Processing,353.72,Won - Merchant,1,20.0,2025-08-21,Cardholder
DSP200140,TX104354,C12799,M2275,2026-02-27,Product Defective / Unacceptable,416.56,Under Review,1,25.0,,Pending
DSP200141,TX287041,C87221,M4445,2025-05-01,Friendly Fraud / Unrecognized,477.75,Under Review,0,20.0,,Pending
DSP200142,TX102871,C97538,M6072,2025-08-07,Fraudulent Transaction,1937.25,Pending Evidence,1,25.0,,Pending
DSP200143,TX111840,C93886,M8404,2025-04-09,Item Not Received,1951.89,Won - Customer,1,35.0,2025-05-15,Merchant
DSP200144,TX220759,C45778,M8145,2025-09-14,Credit Not Processed,590.15,Pending Evidence,1,20.0,,Pending
DSP200145,TX108486,C25906,M7636,2025-11-17,Subscription Cancelled,1720.76,Under Review,1,25.0,,Pending
DSP200146,TX102055,C42098,M5961,2026-02-12,Product Defective / Unacceptable,81.91,Won - Customer,1,15.0,2026-04-08,Merchant
DSP200147,TX107170,C74251,M7116,2026-02-03,Fraudulent Transaction,219.18,Chargeback Reversed,1,20.0,2026-02-14,Cardholder
DSP200148,TX113159,C96646,M3185,2026-05-03,Friendly Fraud / Unrecognized,75.34,Chargeback Reversed,1,20.0,2026-06-24,Issuing Bank
DSP200149,TX112937,C62743,M1530,2025-05-06,Credit Not Processed,99.32,Under Review,0,25.0,,Pending
DSP200150,TX102567,C88104,M2293,2026-02-10,Subscription Cancelled,736.07,Won - Customer,1,15.0,2026-04-11,Payment Processor
DSP200151,TX270739,C53554,M2783,2025-03-31,Fraudulent Transaction,249.04,Pending Evidence,1,35.0,,Pending
DSP200152,TX100198,C11854,M8361,2026-02-11,Duplicate Processing,554.74,Pending Evidence,1,50.0,,Pending
DSP200153,TX109990,C13280,M7012,2026-03-15,Duplicate Processing,285.58,Under Review,1,25.0,,Pending
DSP200154,TX104655,C30926,M3842,2026-01-10,Subscription Cancelled,1611.65,Won - Merchant,1,20.0,2026-01-26,Cardholder
DSP200155,TX109385,C77033,M6692,2025-02-23,Duplicate Processing,707.5,Pending Evidence,0,25.0,,Pending
DSP200156,TX109301,C81426,M2443,2025-02-18,Credit Not Processed,227.61,Chargeback Reversed,1,20.0,2025-03-03,Issuing Bank
DSP200157,TX111783,C56566,M2079,2026-03-17,Friendly Fraud / Unrecognized,532.59,Won - Merchant,1,50.0,2026-05-12,Cardholder
DSP200158,TX279626,C23077,M3000,2026-03-28,Credit Not Processed,190.4,Under Review,1,50.0,,Pending
DSP200159,TX107667,C85243,M1815,2025-12-17,Subscription Cancelled,1355.62,Won - Merchant,1,50.0,2026-01-29,Cardholder
DSP200160,TX112970,C59823,M8205,2025-10-30,Friendly Fraud / Unrecognized,515.27,Under Review,1,50.0,,Pending
DSP200161,TX106695,C56438,M6072,2026-02-08,Subscription Cancelled,436.05,Won - Customer,1,25.0,2026-03-04,Payment Processor
DSP200162,TX108828,C35995,M3131,2025-03-10,Subscription Cancelled,860.31,Arbitration,1,35.0,2025-04-08,Issuing Bank
DSP200163,TX102267,C75230,M7785,2025-03-23,Product Defective / Unacceptable,1763.27,Arbitration,1,20.0,2025-04-19,Issuing Bank
DSP200164,TX110351,C95649,M3902,2025-08-06,Product Defective / Unacceptable,1581.23,Won - Merchant,1,25.0,2025-08-30,Cardholder
DSP200165,TX113948,C66155,M5634,2026-01-08,Credit Not Processed,1340.82,Pending Evidence,1,35.0,,Pending
DSP200166,TX101380,C71348,M6908,2025-09-04,Friendly Fraud / Unrecognized,632.64,Pending Evidence,0,25.0,,Pending
DSP200167,TX286628,C88089,M4891,2025-05-25,Product Defective / Unacceptable,295.43,Won - Merchant,1,35.0,2025-06-23,Cardholder
DSP200168,TX104228,C78937,M6381,2026-01-31,Friendly Fraud / Unrecognized,1682.28,Won - Customer,1,25.0,2026-04-01,Payment Processor
DSP200169,TX110252,C24993,M7105,2025-09-06,Fraudulent Transaction,1707.03,Pending Evidence,0,15.0,,Pending
DSP200170,TX103791,C95215,M9507,2025-08-13,Subscription Cancelled,871.52,Chargeback Reversed,0,25.0,2025-10-10,Merchant
DSP200171,TX106033,C36062,M8138,2025-11-17,Duplicate Processing,859.4,Under Review,1,35.0,,Pending
DSP200172,TX101507,C52237,M1857,2025-04-30,Item Not Received,1318.63,Won - Customer,1,25.0,2025-06-06,Merchant
DSP200173,TX102890,C79822,M6080,2025-09-28,Credit Not Processed,1860.33,Arbitration,1,35.0,2025-11-20,Payment Processor
DSP200174,TX227659,C85509,M3962,2025-06-24,Fraudulent Transaction,755.25,Won - Customer,1,50.0,2025-08-13,Merchant
DSP200175,TX111858,C15943,M1641,2025-07-13,Item Not Received,464.55,Chargeback Reversed,1,50.0,2025-08-21,Cardholder
DSP200176,TX113276,C65392,M7229,2025-09-06,Duplicate Processing,103.44,Won - Merchant,1,25.0,2025-09-27,Issuing Bank
DSP200177,TX258902,C63264,M8995,2025-09-03,Subscription Cancelled,873.26,Won - Merchant,1,20.0,2025-09-29,Cardholder
DSP200178,TX110803,C34957,M8242,2025-06-07,Product Defective / Unacceptable,188.56,Won - Customer,1,25.0,2025-07-16,Merchant
DSP200179,TX234742,C78622,M6798,2025-07-12,Subscription Cancelled,1178.17,Won - Merchant,1,35.0,2025-08-06,Cardholder
DSP200180,TX105804,C44718,M2275,2025-08-08,Fraudulent Transaction,472.45,Pending Evidence,1,50.0,,Pending
DSP200181,TX111870,C13534,M8155,2026-03-14,Product Defective / Unacceptable,1676.37,Won - Merchant,1,20.0,2026-04-29,Cardholder
DSP200182,TX112914,C93202,M6554,2025-06-30,Product Defective / Unacceptable,692.7,Under Review,0,20.0,,Pending
DSP200183,TX111599,C57823,M9482,2025-09-19,Friendly Fraud / Unrecognized,1807.2,Under Review,0,35.0,,Pending
DSP200184,TX109418,C69048,M6314,2025-05-07,Duplicate Processing,794.66,Pending Evidence,1,50.0,,Pending
DSP200185,TX102902,C13794,M2695,2026-04-11,Credit Not Processed,100.0,Arbitration,1,15.0,2026-05-13,Merchant
DSP200186,TX103071,C68756,M1726,2025-03-07,Item Not Received,316.31,Won - Merchant,1,25.0,2025-03-16,Cardholder
DSP200187,TX104638,C23104,M6375,2026-05-13,Friendly Fraud / Unrecognized,1653.38,Won - Customer,1,50.0,2026-07-09,Merchant
DSP200188,TX109775,C85456,M4178,2025-05-15,Item Not Received,1893.49,Under Review,1,20.0,,Pending
DSP200189,TX105862,C57447,M8205,2026-01-27,Credit Not Processed,1345.2,Chargeback Reversed,0,15.0,2026-02-19,Issuing Bank
DSP200190,TX111477,C96752,M8204,2025-10-08,Fraudulent Transaction,1285.51,Won - Customer,1,35.0,2025-11-01,Merchant
DSP200191,TX102603,C78146,M3267,2026-05-24,Product Defective / Unacceptable,1044.83,Won - Customer,1,50.0,2026-06-25,Merchant
DSP200192,TX112783,C39154,M7521,2025-09-17,Subscription Cancelled,871.74,Won - Merchant,1,25.0,2025-10-21,Cardholder
DSP200193,TX101915,C15167,M8349,2025-03-30,Friendly Fraud / Unrecognized,152.77,Arbitration,1,20.0,2025-05-29,Payment Processor
DSP200194,TX105991,C20500,M9363,2025-05-16,Fraudulent Transaction,485.55,Chargeback Reversed,0,15.0,2025-05-29,Merchant
DSP200195,TX108115,C80236,M6780,2025-01-08,Fraudulent Transaction,1807.09,Chargeback Reversed,1,20.0,2025-01-22,Payment Processor
DSP200196,TX112731,C22656,M9410,2025-03-18,Credit Not Processed,986.97,Under Review,0,20.0,,Pending
DSP200197,TX110813,C10371,M3414,2025-05-27,Item Not Received,882.79,Chargeback Reversed,0,35.0,2025-07-21,Merchant
DSP200198,TX106091,C30676,M8967,2025-04-20,Subscription Cancelled,100.0,Under Review,1,20.0,,Pending
DSP200199,TX101568,C54375,M7553,2026-04-16,Item Not Received,7.9,Chargeback Reversed,1,50.0,2026-05-20,Payment Processor
DSP200200,TX114318,C88193,M3185,2025-03-15,Friendly Fraud / Unrecognized,257.25,Pending Evidence,1,15.0,,Pending
DSP200201,TX113792,C19287,M2680,2025-08-27,Fraudulent Transaction,1907.21,Pending Evidence,1,25.0,,Pending
DSP200202,TX109435,C38016,M9313,2025-02-25,Friendly Fraud / Unrecognized,555.13,Won - Merchant,1,25.0,2025-04-19,Cardholder
DSP200203,TX100583,C23970,M4084,2026-05-05,Fraudulent Transaction,545.83,Won - Customer,1,15.0,2026-06-12,Merchant
DSP200204,TX110342,C29973,M4533,2025-08-28,Subscription Cancelled,1315.82,Won - Merchant,1,15.0,2025-10-19,Cardholder
DSP200205,TX104034,C87139,M9149,2026-06-02,Fraudulent Transaction,689.91,Pending Evidence,1,20.0,,Pending
DSP200206,TX111815,C89471,M8033,2025-10-03,Friendly Fraud / Unrecognized,363.95,Won - Customer,1,25.0,2025-12-02,Merchant
DSP200207,TX108304,C99733,M1100,2026-01-11,Friendly Fraud / Unrecognized,643.15,Pending Evidence,0,15.0,,Pending
DSP200208,TX216063,C75558,M8685,2026-03-07,Duplicate Processing,1277.75,Won - Customer,1,50.0,2026-05-05,Merchant
DSP200209,TX256955,C71633,M5612,2025-06-25,Item Not Received,1247.27,Chargeback Reversed,1,20.0,2025-08-20,Payment Processor
DSP200210,TX103080,C87304,M9586,2025-03-08,Friendly Fraud / Unrecognized,105.92,Won - Merchant,1,50.0,2025-05-03,Issuing Bank
DSP200211,TX113341,C49824,M5288,2025-05-24,Fraudulent Transaction,1765.15,Under Review,0,25.0,,Pending
DSP200212,TX109851,C80282,M4891,2025-12-27,Fraudulent Transaction,225.73,Arbitration,1,50.0,2026-02-18,Payment Processor
